week,date,day,subject_1,competency_1,playlist_link_1,worksheet_link_1,subject_2,competency_2,playlist_link_2,worksheet_link_2,
1,2021-06-21,Monday ,भाषा विकास," मौखिक अभिव्यक्ति का विकास ""आओ बच्चों मेरी गुड़िया बालगीत हाव - भाव के साथ गाएं"" ",https://bit.ly/2UazrOr,https://bit.ly/3zAQ4CY,बौद्विक विकास,"स्वाद पहचान ""तरंग पेज नः 27 के माध्यम से स्वाद की पहचान""",,https://bit.ly/3cLYRse,
1,2021-06-22,Tuesday ,भाषा विकास," हाथ एवं आँख का समन्वयन । ""तरंग पेज नम्बर 5 पर दिए गए चित्र मे रंग भरे।""",,https://bit.ly/3vt1mWE,बौद्विक विकास,"कम -ज्यादा ""बच्चों को कम - ज्यादा की पहचान
 (दिए गए विडियों के अनुसार )""",https://bit.ly/3pUHvyF,,
1,2021-06-23,Wednesday ,भाषा विकास,"हाथ एवं आँख का समन्वयन ।""तरंग पेज नम्बर 16 से बिन्दु मिलान व चित्र के अनुरूप रंग भरना """,,https://bit.ly/3gEfqam,बौद्विक विकास,"रंगो की पहचान कर पाऐगे। ""बच्चों को रंग पहचान करवाना। 
 (दिए गए विडियो के अनुसार )""",https://bit.ly/3wyVhcU,,
1,2021-06-24,Thursday ,भाषा विकास," मौखिक अभिव्यक्ति का विकास एवं शब्द भण्डार का विकास । ""कहानी (टोपी बेचने वाला ) 
(दिए गए विडियो के अनुसार )""",https://bit.ly/3wt9AQ2,https://bit.ly/3zAQ8mc,बौद्विक विकास,"कम - ज्यादा की पहचान ""तरंग पेज नः 24 के माध्यम से कम - ज्यादा की पहचान""",,https://bit.ly/2Ssdwlr,
1,2021-06-25,Friday ,भाषा विकास," हाथ एवं आँख का समन्वयन । ""तरंग पेज नम्बर 13 से बिन्दु मिलान""",,https://bit.ly/3xnq0cH,बौद्विक विकास,"तार्किक एवं चिन्तन क्षमता का विकास    ""सम्बन्ध जोडें गतिविधि ।  (दिए गए विडियो के अनुसार )""",https://bit.ly/3iHlIsH,,
2,2021-06-28,Monday ,भाषा विकास," मौखिक अभिव्यक्ति का विकास हो पाऐगा।  ""मेरी फुलवारी पेज नम्बर 2 कविता    (हाथ धुलाई ) (दिए गए विडियों के अनुसार )""",https://bit.ly/2SxXzu4,https://bit.ly/3zxV6jE,बौद्विक विकास,"बौद्विक विकास- तार्किक एवं चिन्तन क्षमता का विकास   ""बच्चों को तरंग पेज नम्बर 9 से संबंध जोडें गतिविधि""",,https://bit.ly/3cNmDE1,
2,2021-06-29,Tuesday ,भाषा विकास," ध्वनि पहचान  ""तरंग पेज नः 25 के माध्यम से क ध्वनि की पहचान करना।""",,https://bit.ly/2SDobcX,बौद्विक विकास,"बौद्विक विकास- रंगो की पहचान कर पाऐगे।   ""बच्चों को टीपी- टीपी टॅाप खेल या घर में उपलब्ध विभिन्न रंग ( लाल,नीला,हरा एवं पीला) की वस्तुएं बच्चों से छूने को कहना।""",,,
2,2021-06-30,Wednesday ,भाषा विकास," प ध्वनि की पहचान  ""तरंग पेज नः 37के माध्यम से प ध्वनि पहचान।""",,https://bit.ly/3cMjRz0,बौद्विक विकास,"बौद्विक विकास- आकृति पहचान  ""बच्चों को आकृति की पहचान की पहचान ।
(दिए गए विडियों के अनुसार )""",https://bit.ly/2TIuSuE,,
2,2021-07-01,Thursday ,भाषा विकास,"भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।  ""मेरी फुलवारी पेज नम्बर 20 कहानी
 (लोमडी और कौवा दिए गए विडियो के अनुसार )""",https://bit.ly/2SxXzu4,https://bit.ly/3cLx6QA,बौद्विक विकास,"बौद्विक विकास- आकृति की पहचान कर पाऐगे।  ""उमंग पेज नः 12 के माध्यम से आकृति पहचान""",,https://bit.ly/3cLzeaG,
2,2021-07-02,Friday ,भाषा विकास,"भाषा विकास- म ध्वनि की पहचान  ""तरंग पेज नम्बर 52 से म ध्वनि की पहचान ।""",,https://bit.ly/3gGphMS,बौद्विक विकास,"बौद्विक विकास- स्वाद की पहचान  "" बच्चों को विभिन्न स्वाद की पहचान।
 (दिए गए विडियो के अनुसार )""",https://bit.ly/3gv8UE8,,
3,2021-07-05,Monday ,भाषा विकास,भाषा विकास- ध्वनि की पहचान कर पाए।--गतिविधि - 1 तरंग पेज नम्बर 67 के माध्यम से त ध्वनि की पहचान।,,https://bit.ly/3pXDrO9,बौद्विक विकास,बौद्विक विकास- सरल पहेलियो के उतर दे पाए।--गतिविधि - 2 गतिविधि संकलन के पेज नम्बर 126 से बूझो तो जाने ।,https://bit.ly/35CBcq5,,
3,2021-07-06,Tuesday ,भाषा विकास,भाषा विकास- बिन्दु मिलान--गतिविधि - 1 तरंग पेज नम्बर 49 से बिन्दु मिलान।,,https://bit.ly/3vpAozr,बौद्विक विकास,बौद्विक विकास- ऊपर -नीचे के बारे मे जान पाए।--गतिविधि - 2 गतिविधि संकलन के पेज नम्बर 144 से ऊपर नीचे की पहचान,https://bit.ly/2SDulKj,,
3,2021-07-07,Wednesday ,भाषा विकास,"भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 मेरी फुलवारी पेज नः 4 के माध्यम से बच्चों को तोता कविता हाव - भाव से करवाना। 
दिए गए विडियो के अनुसार )",https://youtu.be/Qf-hiYNSDdE,https://bit.ly/3vI7JG1,बौद्विक विकास,बौद्विक विकास- रंग पहचान--गतिविधि - 2 उमंगपेज न 18ः के माध्यम से रंग पहचान।,,https://bit.ly/3iL76Zp,
3,2021-07-08,Thursday ,भाषा विकास,भाषा विकास- लेखन का अभ्यास--गतिविधि - 1 तरंग पेज नम्बर 7से बिन्दु मिलान।,,https://bit.ly/2TwTdDs,बौद्विक विकास,"बौद्विक विकास- कठोर - मुलायम की पहचान--गतिविधि - 2  बच्चों को कठोर - मुलायम की पहचान।
 दिए गए विडियो के अनुसार )",https://bit.ly/3vHekjZ,,
3,2021-07-09,Friday ,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 मेरी फुलवारी पेज नम्बर 9 बालगीत ( पानी ),https://youtu.be/_9YIEKWSU3o,https://bit.ly/3vtGui1,बौद्विक विकास,बौद्विक विकास- स्थान की अवधारणा--गतिविधि - 2 तरंग पेज नम्बर 33 के माध्यम से ऊपर - नीचे की पहचान।,,https://bit.ly/3xp0XpJ,
4,2021-07-12,Monday ,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 बच्चों को जामुन है क्या -क्या काली - काली बालगीत हाव - भाव से करवाना एवं कविता से सम्बन्धित छोटे - छोटे प्रश्न  पूछना । दिए गए विडियों के अनुसार ),https://bit.ly/2TItDLQ,,बौद्विक विकास,बौद्विक विकास- तार्किक चिन्तन क्षमता का विकास--गतिविधि - 2 तरंग पेज नः 3 के माध्यम से अधूरा चित्र पूरा करना।,,https://bit.ly/3gGpQGu,
4,2021-07-13,Tuesday ,भाषा विकास,"भाषा विकास- हाथ एवं आँख का समन्वयन बना पाएगे।--गतिविधि - 1 तरंग पेज नम्बर 19 से बिन्दु मिलान ,आकार पूरा करना तथा चित्र मे रंग भरना ।",,https://bit.ly/3xnAGIk,बौद्विक विकास,बौद्विक विकास- गर्म - ठण्डें की पहचान--गतिविधि - 2 बच्चों को गर्म - ठण्डें की पहचान । ; दिए गए विडियों के अनुसार ),https://bit.ly/3zD6aw6,,
